,page_index,page_element_index,farm_id,user_name,farm_name,gender,spouse,pet_type,pet_name,total_earnings,favorite_thing,time_played,farming_skill,mining_skill,foraging_skill,fishing_skill,combat_skill
154,10171,16,1GgRs2,Clair,Cornhub,Female,Unmarried,dog,Kebab,91747,Stardew,8.2 hours,7,3,5,4,2
155,8726,17,1HfOfx,Green,Mirkwood,Male,Unmarried,dog,Titan,323587,Liefie,30.8 hours,10,9,8,7,7
156,1213,17,1OtHEn,Brandi,Gallifrey,Female,Unmarried,dog,Jack,3243335,sonic screwdriv,82.5 hours,,,,,
157,12254,2,1FftI4,Lupus,Luhunni's,Male,Unmarried,NA,NA,0,Leo,0.0 hours,0,0,0,0,0
158,15754,10,1CB1Sf,Jeremy,Bear,Male,Unmarried,cat,Snatabell,1442809,Pizza,119.7 hours,,,,,
159,10866,17,1FO5De,Lucy,Walker,Female,Sebastian,cat,Amber,12756772,Raposa,60.3 hours,,,,,
160,13523,10,1EetQz,Altricad,Rohan,Male,Unmarried,cat,Rango,2573159,Poros,111.6 hours,10,10,10,8,9
161,5779,1,1JoK4k,Kaze,CHAMPS,Female,Sam,cat,Levi,55262836,cats,327.2 hours,10,10,10,10,10
162,14852,5,1DeHSx,Mordred,Mordonia,Male,Penny,cat,Frodo,1489477,Food,96.8 hours,10,9,10,9,9
163,15989,0,1CsjEM,Talon,Lon Lon,Male,Emily,cat,Pippin,2377819,Zelda,59.4 hours,,,,,
164,5652,4,1Js77e,Luiz Henrique,Azul Marinho,Male,Alex,dog,Logan,11454387,Doce,155.0 hours,10,10,10,10,10
165,569,10,1Q1O5l,Gina,Momma Bear,Female,Unmarried,dog,Kodee,24374,Sushi,14.9 hours,5,4,5,6,4
166,7964,9,1HLhRQ,LgQ,Monkey Recint,Female,Unmarried,NA,NA,0,Verdinha,0.3 hours,0,0,0,0,0
167,2540,15,1Mm5Fa,RIA,Cat,Female,Unmarried,cat,고영희,9858005,money,33.6 hours,10,10,8,8,7
168,14612,8,1Dqxhr,Midnight,Midnight Crop,Female,Shane,cat,Gilbert,445315,Books,87.1 hours,,,,,
169,1018,10,1OZ4va,Suyash,Roxy,Male,Unmarried,dog,Cubby,1055174,Cheese,51.5 hours,10,8,8,5,7
170,8901,13,1H9Ofi,Alivia,Cochise,Female,Unmarried,cat,Shelton,898663,Stardew,44.3 hours,10,10,10,9,9
171,12353,11,1FaBSN,Maia,Stulsta,Female,Unmarried,cat,Vännie,7375,big trees,5.3 hours,3,1,3,1,0
172,14999,8,1D8tX6,scof,hch,Male,Unmarried,dog,zoldeg,808091,creps,69.5 hours,10,9,9,10,8
173,538,15,1Q8iWk,Аврора,Pear tree,Female,Unmarried,cat,Мармелад,26175762,Дынное вино,22.5 hours,7,2,5,1,1
174,13245,14,1EucSU,Roker,Roker Farm,Male,Abigail,dog,Mèo,2637680,Food,32.3 hours,10,10,7,2,9
175,14587,4,1DrrsX,FORYO,MINE,Male,Unmarried,cat,鲤鱼王,708657,haha,35.6 hours,10,10,8,10,9
176,4903,4,1JYGnT,Amy,老挨米,Male,Unmarried,cat,卢本伟,180273203,Stardew Valley,120.2 hours,,,,,
177,7263,4,1ImxP4,Pate,Macho,Male,Unmarried,dog,Raul,182700,Hamburger,21.6 hours,10,7,7,2,5
178,2983,17,1LNjJ0,Margot,Prythian,Female,Haley,cat,emerie,385766,Hot chocolate,50.6 hours,10,5,8,3,3
179,15689,13,1CDDy9,Clara,Aurelia,Female,Elliott,dog,Dex,2444120,Reading,95.8 hours,10,10,10,10,9
180,4597,7,1KgUyU,Gasling,Ферма Уюта,Male,Unmarried,dog,Каспи,5088,Кнут для...,1.8 hours,0,0,1,3,0
181,12654,8,1ETNTK,Squiddy,Tentacle,Female,Elliott,dog,Drago,1415924,Drago,80.7 hours,10,10,10,9,10
182,3831,15,1L3uYh,Achajka,Forestland,Female,Unmarried,cat,Lisak,86850,Chocolate,79.5 hours,9,6,9,8,5
183,10409,1,1G3GrI,Nicklaus,Aubergine,Male,Leah,cat,Kit Kat,3172259,Aubergine,123.5 hours,10,10,10,10,10
184,7717,7,1HVRP0,McKay,Modded,Male,Unmarried,cat,Deputy,28972,School,9.8 hours,4,4,6,2,3
185,458,3,1QoVdI,Maia,islaMaia,Female,Shane,cat,Mingau,2511904,animais,118.6 hours,10,10,10,10,10
186,3075,7,1LH0Iq,Maan,Do. Karma,Male,Emily,cat,Woku,1784302,Eating,73.4 hours,10,9,9,7,9
187,4097,3,1KViFC,Dawn,Chaikho,Female,Unmarried,dog,UwU,120951,matcha latte,13.9 hours,7,7,5,5,5
188,13764,16,1E17ZM,Mario,Money,Female,Unmarried,dog,丘吉尔,557812,Food,66.1 hours,10,8,10,10,6
189,7267,8,1ImfKK,阿秋,QQ,Female,Emily,dog,阿猫,48864038,奶子,208.9 hours,10,10,10,10,10
190,14261,10,1DCRQq,Yu,Great,Female,Unmarried,cat,Cat,909642,Apple,47.4 hours,10,10,9,9,10
191,5633,11,1JsBgu,Sunshine,Schrute,Male,Unmarried,dog,Mose,171164,Beets,15.6 hours,9,4,5,0,2
192,7583,13,1I2fs0,나현,언덕,Female,Unmarried,dog,나노,3179450,아이스크림,70.5 hours,10,10,10,10,10
193,6805,3,1ILBeq,Lisa,Moonlight,Female,Unmarried,cat,Biscuit,225431,pretzels,14.5 hours,10,9,6,10,5
194,10916,12,1FMODB,Magicaster,Magical Crops,Male,Leah,cat,Jikicka,2715039,Gaming,93.9 hours,10,10,10,10,10
195,3236,2,1LwXlR,Dila,Yeşim,Female,Elliott,cat,Yeşim,905433,Yatak,103.0 hours,10,10,9,10,9
196,6501,5,1IYn6E,^$#!up,Bunker Hood,Male,Unmarried,cat,Fiyero,757090,Pooping,30.9 hours,9,10,7,0,9
197,1234,12,1OrjfP,Memir Runa,TruffleGamin,Male,Haley,cat,Mosa,2396192,Money,62.2 hours,,,,,
198,5629,7,1JsIUr,Rosalind,Hodgkins,Female,Unmarried,cat,Miso,803296,Stevie,107.4 hours,10,8,9,10,6
199,7131,8,1Iv8VS,DongF,D,Male,Penny,cat,小雨,54937854,F,368.4 hours,10,10,10,10,10
200,11971,12,1FkLVa,Vinnath,Freedom,Male,Abigail,cat,Kereskiita,251258,Swimming,22.5 hours,3,8,9,8,8
201,10616,14,1FVh0x,皮球,皮不动了,Male,Leah,cat,zoe,384415,梓仪,32.9 hours,10,8,9,4,8
202,14954,10,1DapOp,张小鱼,日暮里,Male,Sebastian,cat,二狗子,871432,搞基,49.8 hours,,,,,
203,7291,15,1IkFS3,Pedro,Kinda,Male,Abigail,dog,Buddy,592774,Nothing,38.1 hours,,,,,
204,5899,7,1JlpAk,籽籽,樱花庄,Female,Shane,cat,咪咪,4425548,西红柿,75.2 hours,10,10,10,10,10
205,12767,16,1EOqTw,Ramon,Kopplin's,Male,Unmarried,dog,Hound,114780,Grêmio,21.7 hours,9,5,6,4,5
206,2117,14,1N1nz6,rob,oioi,Male,Sebastian,dog,Duda,19318813,ConcernedApe,44.9 hours,,,,,
207,1400,13,1OavoN,Nexa,Sanctuary,Female,Unmarried,cat,Mittens,3092464,tacos,138.3 hours,10,9,10,10,9
208,4318,7,1KFBTj,Kwiliniosz,Forest,Male,Unmarried,cat,Lolek,1056043,Ancient Fruit,38.6 hours,10,9,10,10,9
209,14640,4,1Dpn52,Pablo,SouthernLord,Male,Maru,cat,Lion,6813475,Honey,76.3 hours,10,10,10,10,10
210,7549,1,1I4fUL,Yunsik,JEONG-EUP,Male,Sebastian,cat,Hodu,31504076,Cats,212.5 hours,10,10,10,10,10
211,2420,0,1Mx59U,Midas,Gold Rose,Female,Unmarried,dog,Meu Sans,3167639,ouro,57.4 hours,10,8,9,9,7
212,11639,11,1Fs0VN,Junes,苹果园,Male,Unmarried,cat,Adam,31976,薯片,31.9 hours,5,7,4,6,7
213,12599,9,1EWIJk,Alex,9th Cloud,Male,Alex,dog,Otis,5216888,Food,103.3 hours,10,10,10,10,10
214,10485,7,1FZUSj,Josephine,Respite,Female,Shane,cat,Rosie,1771057,Candy,70.5 hours,10,10,10,10,10
215,6348,4,1J4Rca,Luana,Whole Cake,Female,Shane,cat,Ziquinho,2960253,Dinheiro,100.3 hours,10,9,10,10,8
216,2354,12,1ME314,Lucas7,Chateau,Male,Emily,dog,Elton,856503,Music,63.5 hours,,,,,
217,849,12,1PlitL,w,w,Male,Unmarried,NA,NA,4878305,w,40.1 hours,10,8,9,5,8
218,11820,4,1FnS5r,Becca,Greenleaf,Female,Unmarried,dog,Fleabag,145615211,Josh,24.4 hours,10,10,10,10,10
219,13621,15,1E8sEL,光头强,森林,Male,Haley,cat,肥波,8087634,哒哒哒,89.4 hours,10,10,10,10,10
220,15467,8,1CMPuD,Snow White,Enchanted,Female,Sam,dog,Bashful,5802857,Apples,94.1 hours,10,10,10,8,8
221,10972,14,1FLjay,安娜,小天地,Female,Penny,cat,呼噜,762245,星星果,34.1 hours,10,8,8,10,8
222,12931,10,1EGuRi,Adrian,Gerber,Male,Unmarried,dog,Zack,780049,apples,45.1 hours,10,10,10,10,10
223,6642,16,1IS2bf,Ben,Ancient,Male,Unmarried,dog,Waffles,147837,Seeds,11.2 hours,8,10,6,9,7
224,11794,0,1FonlB,Mumps,#Fedoraprobs,Male,Leah,dog,McGumps,622403,Fedoras,29.5 hours,10,7,6,7,5
225,13218,6,1EvoSY,Fabrique,Fabrique,Male,Unmarried,cat,Mees,74067,Birds,21.4 hours,,,,,
226,261,9,1R6NFv,Márcio,Comedores,Male,Leah,dog,Floyd,13371678,Pão,139.3 hours,10,10,10,10,10
227,14425,13,1Dx1oM,steven,xiaonaofarm,Male,Harvey,dog,daisy,12481596,JJ,156.0 hours,10,10,10,10,10
228,8242,12,1HxaN6,Ron,Flying Cow,Male,Unmarried,dog,Doge,11529929,Melon,100.9 hours,10,10,10,10,10
229,8988,3,1H6O46,Zack,Gardner,Male,Penny,dog,Cathy,9685,Rache,11.1 hours,,,,,
230,2614,17,1MgT1D,Lorelei,Kokiri,Female,Alex,cat,Makar,8779880,peaches,182.9 hours,10,10,10,10,10
231,15677,15,1CEmiU,Brandon,Cerulean,Male,Unmarried,cat,Gus,209755,Love,25.9 hours,9,6,7,6,5
232,12618,15,1EVyZV,Leonardo,Aabenrra.1,Male,Unmarried,dog,Bobo,679309,Melancia,42.7 hours,,,,,
233,8873,6,1HaVF8,Clyde,Coward,Male,Unmarried,cat,Chester,10323300,Senzu Bean,90.8 hours,10,10,10,8,10
234,6772,5,1IMW23,James,Cardinal,Male,Emily,dog,Rupin,13739659,Baseball,203.0 hours,10,10,10,10,10
235,3616,1,1LcJ1h,Alexander,Cricket,Male,Shane,cat,Chad,1638596,reading,105.1 hours,,,,,
236,14330,15,1DAnks,Emma,Tverrbekken,Female,Elliott,cat,Truls,1024609,cuddles,118.7 hours,,,,,
237,1461,11,1O4P99,МегаЖир,Жопная,Male,Unmarried,cat,Жиж,59538,Пельмени,7.1 hours,7,1,3,2,1
238,14649,9,1DoQij,Nasca,Aquarius V,Female,Elliott,cat,Cherley,11474316,Rock & Roll,135.8 hours,10,10,10,10,10
239,14000,6,1DNzLZ,Philex,Meowind,Female,Haley,cat,味噌,5683367,Water,63.8 hours,10,7,8,10,8
240,3386,4,1LoZji,Rachel,Sunshine,Female,Unmarried,cat,Miso,234549,Cows,26.0 hours,9,8,7,6,7
241,14897,16,1Dczq8,Bob,Bob's,Male,Haley,dog,Fido,10344063,Turtle,167.0 hours,10,10,10,10,10
242,15052,9,1D65qR,猫宝宝,猫,Female,Elliott,cat,咪喵,2065541,猫,99.0 hours,,,,,
243,11018,1,1FJVXb,裴神,天狼星,Male,Penny,dog,瑜伽,24341258,A,105.1 hours,10,10,10,10,10
244,13092,12,1EAwdm,Vikusik,Magic,Female,Abigail,dog,Dobby,8173389,Water,150.8 hours,10,10,10,10,10
245,6411,16,1J2gSo,Mariana,Porpetinha,Female,Penny,cat,Molly,25692549,Kitties,304.3 hours,10,10,10,10,10
246,11457,10,1Fx1Ec,Nora,Old Leaf,Female,Sam,cat,Miso,1174643,Ghosts,76.4 hours,10,10,9,9,10
247,15471,15,1CMCDZ,Denver,Sweet Mercy,Male,Harvey,dog,Parti,606220,Glitter,53.0 hours,10,9,9,8,9
248,559,5,1Q4g1A,Willow,Woodland,Female,Unmarried,dog,Zelda,768276,Forest,37.6 hours,10,9,10,9,8
249,2674,8,1Mco6b,陈可爱,我想有钱,Female,Unmarried,dog,小宝,3392342,钱,128.6 hours,10,10,10,10,9
250,8876,0,1HaQnp,Bakalol,lolbaka,Female,Unmarried,NA,NA,177923,Anisomanko,6.5 hours,10,1,2,0,1
251,5121,4,1JLAGr,Darkness,Red zone,Male,Leah,dog,Bill,391806,Animals,34.4 hours,10,8,9,8,6
252,12271,7,1Ff2vm,Ben,Vitrolic,Male,Unmarried,cat,Veneer,126466,Videogames,29.1 hours,,,,,
253,14339,10,1DA4X8,Sarah,Fazenda,Female,Unmarried,cat,Gato,319654,.,28.8 hours,10,8,7,9,7
254,11042,12,1FJ20E,Виталий,Fom.V.,Male,Leah,dog,Бобик,3489291,Меч,78.9 hours,10,8,9,9,7
255,3251,8,1Lw6ta,Hommi,Floaroma,Female,Unmarried,cat,Mae,239257,Art,35.6 hours,9,8,8,10,7
256,7918,10,1HNok3,Miru,Blue,Female,Unmarried,cat,Ray,3143424,Rize,46.8 hours,10,9,8,9,7
257,3679,16,1L9A1A,Rosalie,MeadowGrove,Female,Leah,dog,Alina,10033112,Flowers,110.2 hours,10,10,10,10,10
258,7002,12,1IDfn2,May,Moo Moo,Female,Leah,cat,Illyasviel,5121816,Cuteness,136.6 hours,10,10,10,10,10
259,15294,10,1CTzBT,卡卡,忘忧,Male,Unmarried,cat,汤圆,4523271,阅读,87.1 hours,10,10,10,10,8
260,932,17,1Pd6lj,Ava,Sunset Lake,Female,Sam,cat,Sumo,2433297,Saga,127.1 hours,10,10,10,10,10
261,143,16,1RylEM,Alves,Cegonha,Male,Iva,dog,Pato,1356062,Iva,58.4 hours,10,8,8,0,8
262,3152,0,1LBPjZ,Josh,Quarantine,Male,Unmarried,cat,Goose,9005797,My Wife,122.0 hours,,,,,
263,903,13,1Pg24R,kelin,kelin,Female,Abigail,cat,狗,2339880,stardew valley,28.4 hours,10,10,9,10,10
264,13878,1,1DU8tO,Gugu,Cheo's,Male,Penny,dog,Benito,268594,Memes,39.4 hours,,,,,
265,12743,6,1EPJqX,Naph,Cooking,Female,Unmarried,dog,Cheetos,947800,mikado,32.8 hours,,,,,
266,12324,16,1FcJ52,AK,Pop's,Male,Shane,dog,Zheuz,936439,Cake,48.0 hours,10,9,10,10,8
267,5961,4,1JjmmB,Clarabear,Stardew,Female,Alex,dog,Maverick,2194057,Animals,395.2 hours,10,10,10,8,10
268,3661,12,1Laqx0,공장장,간장공장,Male,Unmarried,cat,더들리,6843,검은콩,2.9 hours,1,2,2,3,2
269,13369,17,1En2fI,Tip,Pelago,Male,Harvey,cat,Toby,463260,RPG Games,53.0 hours,10,8,8,8,7
270,7003,5,1IDest,Leon,Burger,Male,Unmarried,dog,Jan-Willem,22117,ConcernedApe,3.8 hours,4,6,2,8,5
271,10952,4,1FLVV3,Kirill,Starling,Male,Emily,cat,Муська,1261640,Pizza,62.7 hours,10,8,10,9,7
272,8933,17,1H8Iw0,Jirachi,Nature,Female,Shane,cat,Night,6300350,Animals,98.4 hours,10,8,10,9,7
273,10839,11,1FOUAy,Gustavo,Gravity Falls,Male,Emily,dog,Spike,1279523,Estrelas,74.6 hours,10,9,10,10,10
274,10940,5,1FMeQS,Rin,MiMi,Male,Haley,dog,Wyvern,14582580,Me,135.8 hours,,,,,
275,10763,11,1FQXht,Makoto Naegi,Hope Peak,Male,Unmarried,cat,Pepper,1223049,Hope,66.0 hours,10,10,10,10,10
276,8557,14,1HkKNH,Cyane,Prismatic,Female,Unmarried,cat,Pumpkin,7328,Maki Rolls,2.5 hours,1,1,3,0,0
277,9723,10,1GEFd2,Ferris,Wheed,Male,Unmarried,cat,Kenku,430139,Pokemon,21.7 hours,9,3,8,2,1
278,9409,11,1GQ0lH,Zambrano,case tabla,Male,Abigail,cat,pachulin ,5953999,trabjar,128.4 hours,10,10,10,9,10
279,6729,9,1IOKaS,Boss,Fairy Tale,Male,Unmarried,NA,NA,56,Dogs,0.5 hours,0,0,0,0,0
280,3522,11,1LhG5D,John,Hyrule,Male,Penny,cat,Sho-Sho,1801308,The Abyss,58.1 hours,10,9,9,8,9
281,10114,10,1Gk9hz,Deyzi,Blueberry,Female,Sebastian,cat,Reggie,2119800,Potatoes,69.3 hours,10,10,10,10,10
282,3510,9,1LieSj,Nowboah,Woodstock,Male,Unmarried,cat,Cheshire,1652976,red hot,135.9 hours,10,10,10,10,10
283,14105,0,1DJbDm,Fábio,Batista,Male,Leah,dog,Knopfler,255943,Amigos,55.9 hours,,,,,
284,215,13,1RhMap,Mathzin,sangue real,Male,Leah,dog,Loki,4803392,banana,112.4 hours,10,10,10,10,9
285,9593,10,1GJb30,Fabio,HopLand,Male,Unmarried,dog,Galaxy,199289,Beer,16.3 hours,10,6,7,7,6
286,13388,12,1ElZT8,Biktor,Villalcon,Male,Haley,dog,Banksy,840022,Nothing,73.6 hours,10,8,9,6,7
287,12221,10,1Fg661,Melvin,Hinterlands,Male,Unmarried,dog,Dog Meat,4584653,Video Games,132.3 hours,,,,,
288,5595,16,1JtBUL,Jo,Riverside,Female,Unmarried,dog,Odin,24601,Nature,13.3 hours,5,6,6,3,6
289,15188,3,1CZmvc,Madsa,Dauns,Female,Sebastian,dog,Snooch,5093722,Chocolate,165.7 hours,10,10,10,9,10
290,9200,8,1GYBWU,僵尸小雅,僵尸小雅的,Male,Abigail,dog,海特,112997584,脑子,100.5 hours,10,10,10,10,10
291,2725,10,1M8ioU,thuan,hachifarm,Male,Emily,cat,bobo,2811539,haches,55.8 hours,,,,,
292,11053,1,1FII0k,Peppep,Turmeric,Female,Unmarried,cat,Eslqa,288968,Friends,17.7 hours,10,3,7,5,4
293,8994,8,1H6yr8,Jali,Fox Run,Female,Unmarried,cat,Miso,1439213,Books,82.3 hours,,,,,
294,3369,15,1LpGfQ,Petra,Twisted Pine,Female,Unmarried,cat,Merlin,18497809,Mononoke,142.0 hours,10,10,10,10,10
295,16071,12,1Cpows,Ryan,Bitmine,Male,Unmarried,dog,Jade,1481875,Cheese,60.9 hours,,,,,
296,5477,4,1Jxciq,Rosalind,Hodgkins,Female,Elliott,cat,Miso,3784819,Stevie,240.8 hours,10,10,10,10,10
297,245,15,1RaTiW,Jimmy,Revelio,Male,Abigail,cat,Biscotte,1250838,Poutine,38.4 hours,10,10,9,10,10
298,7513,9,1I6Bmp,Patrick,Marge,Male,Unmarried,cat,Bilge,884550,Weed,86.6 hours,10,9,10,10,9
299,5866,9,1JmmLE,DeVan,Hyrule,Female,Harvey,cat,Lysol,2730785,Clay,91.1 hours,10,10,10,6,10
300,9677,9,1GGhwC,Haibara,Cutie Patootie,Female,Unmarried,cat,Eevee,4115702,Rainbows,103.7 hours,10,10,10,10,10
301,15821,4,1Cybdc,Mr Garrison,Money,Male,Haley,dog,Yogi,7672781,Money,101.0 hours,,,,,
302,124,16,1RDJGL,Пукич,Яблоневая,Female,Elliott,cat,Сэр Гей,777376,Звезды,73.9 hours,10,9,9,7,8
303,15815,16,1CyoOe,Ender,Greentree,Male,Unmarried,dog,Wolfgang,64146,Penguins,21.7 hours,,,,,
304,4117,5,1KUJTn,Nagito,Hope,Male,Abigail,cat,Neko,10087776,Coffee,143.2 hours,10,10,10,10,9
305,8623,4,1HiL2R,Colin,Wagner,Male,Unmarried,dog,Sailor,699919,God's Country,30.2 hours,10,9,8,8,8
306,599,6,1PX1y1,KrFisH,Fortuna,Male,Leah,cat,Loro,53605304,Sorvete,243.5 hours,10,10,10,10,10
307,8629,4,1HiDKg,zhi,piaoliu,Male,Leah,dog,汪汪,35147271,meiza,119.9 hours,10,10,10,10,10
308,3193,15,1Lzval,Jared,Beaver Creek,Male,Unmarried,dog,Fritz,54096,Oil,10.8 hours,6,4,5,3,4
309,14696,8,1Dmo6a,Kristen,Wolf,Female,Unmarried,dog,Hanzo,89590,Brad,21.3 hours,6,7,6,5,8
310,14803,9,1DgWj4,D,物语,Male,Unmarried,dog,丹麦,976867,C,52.7 hours,10,6,8,10,4
311,3496,5,1Lj4yY,Faiz,Bruh,Male,Emily,cat,Giorno,4017048,Memes,107.6 hours,10,8,10,10,7
312,4532,4,1KlvJt,Kenny,Awkward,Male,Unmarried,cat,Lucky,1947909,D.Va,61.1 hours,10,9,8,10,8
313,5678,16,1Jru4Z,LeineTAKO,Alice,Male,Emily,cat,Lilith,1532302,孤独,72.6 hours,10,10,10,10,10
314,15494,15,1CLqgw,Renan,Oasis,Male,Shane,cat,Mona,127275,Anime,15.1 hours,9,6,5,0,6
315,2606,2,1MhqTt,Jacob,Roellan,Male,Unmarried,dog,Gerard,65187,Ur Mom,13.0 hours,6,5,5,8,3
316,4134,1,1KU7T7,William,One Piece,Male,Leah,cat,Duda,1314758,Sorvete,52.6 hours,,,,,
317,3389,14,1LoNbq,Wendy,Beehive,Female,Ivan,cat,Queen Bee,860026,Ivan,31.4 hours,10,9,9,8,7
318,1721,13,1NCAGV,Aldoin,Aldo,Male,Abigail,cat,Dudley,2770198,Chattes,117.8 hours,10,10,10,10,10
319,5020,9,1JRxgZ,Pockette,Lalaland,Female,Unmarried,dog,Frank,884334,food,158.8 hours,10,9,10,9,9
320,2815,5,1M1qhT,Julian,Norwich,Female,Sebastian,cat,Cilley,35277143,Mysticism,189.9 hours,10,10,10,10,10
321,5493,6,1JwGlx,Arthur,Denver,Male,Unmarried,cat,Bosse,175767,#*&%!,14.8 hours,9,4,6,10,2
322,8211,11,1HyxMX,Neo,Providence,Male,Penny,dog,Zero,14228750,ConcernedApe,117.6 hours,10,10,10,10,10
323,5619,13,1JsYiZ,Daniel,Perfect,Male,Abigail,dog,Yoda,6388374,Boobs,81.2 hours,10,10,10,9,10
324,8937,5,1H8C1Y,皓泽,特恩佩斯特,Male,Haley,cat,甜点,9095543,萝莉,50.6 hours,10,9,9,10,7
325,776,4,1PuqUx,dayoesin,twerk,Male,Haley,dog,오,11391682,19+,190.2 hours,10,10,10,10,10
326,833,11,1Pnhta,Luca,Farmy,Female,Unmarried,dog,Lolli,4755,cuddles,3.0 hours,,,,,
327,3871,11,1L2diC,Cool Dave,Cooslville USA,Male,Maru,dog,Rad Dog,818086,Sick Shades,46.9 hours,10,10,9,8,9
328,15328,0,1CSboF,Courtney,Gaming,Female,Alex,dog,Buddy,107037964,Video Games,224.1 hours,10,10,10,10,10
329,7706,15,1HWjgr,Michael,Crimson,Male,Abigail,dog,Holly,384093,Chocolate,23.9 hours,10,8,7,7,8
330,9285,7,1GVj7i,Fionna,Land of Ooo,Female,Unmarried,cat,Cake,259572,Gumball,11.0 hours,10,10,7,8,5
331,1087,5,1ONTPW,Cody,Duncan Hills,Male,Unmarried,cat,Billy,1266917,Coffee,48.7 hours,,,,,
332,6243,16,1J8RQ4,Russ,Verdant,Male,Leah,dog,Doggo,2599113,Bulbasaur,57.2 hours,10,10,10,10,10
333,9939,4,1Gtv2X,Jusbavo,Farm Ville,Male,Unmarried,dog,Dogão,947022,Diamantes,54.3 hours,10,7,7,10,6
334,10940,4,1FMeT5,Mashiro,Sakurasou,Male,Haley,dog,AWP | Dragon Lore,3782156,养老,36.1 hours,10,9,8,9,9
335,3338,16,1Lrlbo,Kiryu,Kamurocho,Male,Unmarried,cat,Majima,973292,Tojo Clan,42.5 hours,,,,,
336,4461,15,1KshOk,Gaby,Holden,Male,Penny,cat,CutieKitten,3287926,Games,185.1 hours,10,10,10,10,10
337,2749,3,1M6qRd,kyle,Farmville,Male,Abigail,dog,Rourkey,2061791,potato,78.7 hours,10,10,10,9,10
338,259,0,1R7znJ,Esther [163],Campo Feliz,Female,Leah,cat,[72] [74] [86] ,2815762,gatos,65.5 hours,,,,,
339,7768,16,1HTJxW,红烧肉,可乐,Male,Emily,dog,狗肉煲,18888458,美食,175.3 hours,10,10,10,10,10
340,15041,1,1D6Cdw,Skylar,Kupomarsh,Male,Unmarried,cat,Mochiki,52083,Video Games,18.9 hours,,,,,
341,10990,1,1FKJaO,Waldo,Wallow,Male,Unmarried,cat,Perry,1748718,Thinking,55.4 hours,10,9,10,9,9
342,5082,10,1JNVSW,Bjorn,Skjalderfandi,Male,Sam,cat,Frotsie,1180148,luci,72.6 hours,,,,,
343,8028,17,1HI9wZ,Kenia,Alaska,Female,Unmarried,dog,Oliver,7085327,Hamburguer,103.1 hours,10,10,10,10,10
344,3327,8,1LrTbk,Max,Noldea,Female,Unmarried,dog,Mitcha,14205,awesomeness,5.0 hours,,,,,
345,12946,8,1EG3O9,Efficiency,Efficiency,Male,Unmarried,cat,Efficiency,185900,Efficiency,10.9 hours,6,9,9,6,7
346,14065,9,1DKFA6,Khaleesi,Take 3,Female,Harvey,dog,Rover,1971533,Flowers,78.4 hours,10,10,10,10,10
347,10876,2,1FNNdz,Bryce,Jobia,Male,Abigail,dog,Chungus,274804,Food,48.6 hours,9,8,7,9,6
348,7281,3,1Iliki,Jeb!,Jeremiah Fun,Male,Unmarried,dog,Barkolomeu,254958,Music,29.3 hours,,,,,
349,4926,13,1JXgvK,Pablo,Couple's,Male,Unmarried,dog,Lola,97036,Fernanda,12.4 hours,7,8,6,6,5
350,10726,7,1FRYef,duidui,123,Male,Haley,cat,adui,2576271,色图,89.4 hours,10,10,10,10,9
351,9214,12,1GYb4r,Anna,Lavender,Female,Sebastian,cat,Sesa,2197618,Art,90.2 hours,10,7,10,6,5
352,1222,2,1OsK7K,Zoë69,<Wasted<,Female,Unmarried,cat,Rose London,324461,Dreamcatcher,23.7 hours,9,8,8,7,7
353,12354,0,1FaBiQ,大哥,幻想乡,Male,Abigail,cat,豆芽MTJ,11575257,搞比利,76.4 hours,,,,,
354,11321,6,1FBm21,Celeste,Galaxy,Female,Unmarried,dog,Star,2805,Space,4.2 hours,10,10,10,10,10
355,188,1,1Ro3X1,Norah,Big Titty,Female,Haley,dog,Big Titty Jr,12163711,Sloths,80.1 hours,10,10,7,6,10
356,13627,12,1E87m2,Ash,The Soul,Male,Harvey,dog,Lil' Pup,833168,Sleep,85.3 hours,10,8,10,8,7
357,5804,9,1Jo3Dz,Nicolas,Volta Fina,Male,Unmarried,dog,Sushi,334165,SATANISMO,43.0 hours,,,,,
358,10445,15,1G1V2Y,Emma,Winnie,Female,Penny,cat,Bubba Kitty,2433375,Cats,67.7 hours,10,10,10,10,8
359,15816,11,1CylI3,Sally,White Bear,Female,Harvey,dog,Rutherford,1077630,Chocolate,146.8 hours,10,9,10,9,8
360,12447,10,1F57wz,Ai-chan,Raios de Sol,Female,Sebastian,cat,Bonnie,2608910,Pimenta,89.9 hours,10,10,10,10,10
361,10779,15,1FQtlr,大胖,大大大大大大大大,Male,Penny,dog,小黄,22645670,女,152.4 hours,,,,,
362,8581,12,1HjZ8E,Ben,Blackrush,Male,Unmarried,dog,Pippin,6028,Swords,3.8 hours,3,1,2,0,0
363,11040,2,1FJ9gL,Dane,Beleriand,Male,Unmarried,NA,NA,0,Muppets,0.0 hours,0,0,0,0,0
364,10183,6,1Ggcc8,崩溃,米粒儿,Male,Abigail,dog,闪电,13765138,米粒儿,104.0 hours,10,10,10,10,10
365,762,5,1PwmyS,Linn,Roar's farm,Female,Unmarried,cat,Roar,934902,Noodles,87.8 hours,10,9,10,9,9
366,10893,1,1FNlkS,Ban,Seveni,Male,Unmarried,cat,Meliodas,623192,Brawls,46.0 hours,,,,,
